director,Total_Peliculas,Duracion_Promedio,Duracion_Minima,Duracion_Maxima,Desviacion_Estandar,Varianza
Hiroyuki Seshita,1,106.0,106,106,,
Hitoshi Namba,1,72.0,72,72,,
Holger Tappe,1,93.0,93,93,,
Honey Trehan,1,150.0,150,150,,
Hong Khaou,1,85.0,85,85,,
Hong-seon Kim,1,110.0,110,110,,
Houda Benyamina,1,107.0,107,107,,
Houssam El-Din Mustafa,1,253.0,253,253,,
Howard Zieff,2,100.5,99,102,2.1213203435596424,4.5
Hoyt Yeatman,1,88.0,88,88,,
Hrishikesh Mukherjee,4,127.25,120,137,7.135591542869216,50.91666666666668
Hua Shan,1,92.0,92,92,,
Huang Hsin-Yao,1,123.0,123,123,,
Huang Jianming,1,94.0,94,94,,
Huang Lei,1,102.0,102,102,,
Hugh WIlson,1,103.0,103,103,,
Hugo Stuven,1,91.0,91,91,,
Husam El-Gohari,1,99.0,99,99,,
Hussein El Ansary,1,106.0,106,106,,
Huw Cordey,1,52.0,52,52,,
Hèctor Hernández Vicens,1,91.0,91,91,,
Iain Softley,1,106.0,106,106,,
Ian Edelman,2,86.0,82,90,5.656854249492381,32.0
Ian Kirby,1,65.0,65,65,,
Ian MacAllister-McDonald,1,97.0,97,97,,
Ian MacNaughton,1,72.0,72,72,,
Ian Samuels,1,106.0,106,106,,
Ibai Abad,1,101.0,101,101,,
Icíar Bollaín,1,103.0,103,103,,
Ifa Isfansyah,2,100.5,96,105,6.363961030678928,40.5
Ildiko Enyedi,1,116.0,116,116,,
Ilya Naishuller,1,96.0,96,96,,
Iman Brotoseno,1,124.0,124,124,,
Imtiaz Ali,6,137.0,127,143,6.09918027279076,37.19999999999997
Inas El-Degheidy,1,116.0,116,116,,
Indra Kumar,5,137.2,93,173,32.39135687185704,1049.2000000000003
Indrajit Nattoji,1,117.0,117,117,,
Indrasis Acharya,1,127.0,127,127,,
Ira Sachs,1,85.0,85,85,,
Irwin Winkler,1,114.0,114,114,,
Isaac Ezban,2,95.0,90,100,7.0710678118654755,50.0
Isaac Florentine,1,87.0,87,87,,
Isaac Rentz,1,84.0,84,84,,
Isabel Coixet,1,119.0,119,119,,
Isabel Sandoval,1,94.0,94,94,,
Isabelle Nanty,1,113.0,113,113,,
Isao Yukisada,1,118.0,118,118,,
Ishaan Trivedi,1,108.0,108,108,,
Ishaya Bako,3,102.0,90,120,15.874507866387544,252.0
Ishi Rudell,3,53.666666666666664,44,73,16.74315780649915,280.33333333333337
Ismail Farouk,1,99.0,99,99,,
Israel Adrián Caetano,2,108.5,104,113,6.363961030678928,40.5
Ivan Ayr,2,97.5,97,98,0.7071067811865476,0.5
Ivan Reitman,3,105.66666666666667,102,109,3.511884584284246,12.333333333333332
Ivan Sen,1,110.0,110,110,,
Ivan Silvestrini,1,97.0,97,97,,
Ivona Juka,1,157.0,157,157,,
Izidore K. Musallam,1,95.0,95,95,,
Izu Ojukwu,1,118.0,118,118,,
Iñaki Dorronsoro,1,104.0,104,104,,
J Blakeson,1,118.0,118,118,,
J. Davis,1,85.0,85,85,,
J. Lee Thompson,1,156.0,156,156,,
J. Michael Long,1,63.0,63,63,,
J.A. Bayona,2,111.0,108,114,4.242640687119285,18.0
J.C. Chandor,2,125.5,125,126,0.7071067811865476,0.5
J.C. Falcón,1,108.0,108,108,,
J.D. Dillard,2,86.0,83,89,4.242640687119285,18.0
J.J. Abrams,1,128.0,128,128,,
J.M. Berrios,1,95.0,95,95,,
JP Habac,1,90.0,90,90,,
Jacek Koprowicz,1,90.0,90,90,,
Jack C. Newell,2,80.0,79,81,1.4142135623730951,2.0
Jack Starrett,1,89.0,89,89,,
Jack Zagha Kababie,1,92.0,92,92,,
Jacob Kornbluth,2,81.5,73,90,12.020815280171307,144.5
Jacob Schwab,1,77.0,77,77,,
Jadesola Osiberu,1,98.0,98,98,,
Jagdeep Sidhu,1,137.0,137,137,,
Jaivi Dhanda,1,103.0,103,103,,
Jake Szymanski,1,95.0,95,95,,
Jaki Bradley,1,86.0,86,86,,
Jakob Lass,1,91.0,91,91,,
Jalil Lespert,2,95.5,92,99,4.949747468305833,24.5
Jamal Hill,1,88.0,88,88,,
James Barr,1,24.0,24,24,,
James Bobin,2,107.0,104,110,4.242640687119285,18.0
James Brown,1,87.0,87,87,,
James Dearden,1,101.0,101,101,,
James Foley,1,109.0,109,109,,
James Franco,1,104.0,104,104,,
James Haslam,1,95.0,95,95,,
James Ivory,1,143.0,143,143,,
James L. Brooks,1,139.0,139,139,,
James Mangold,2,111.0,104,118,9.899494936611665,98.0
James Marsh,1,123.0,123,123,,
James McTeigue,2,115.5,99,132,23.33452377915607,544.5
James Ponsoldt,2,100.5,95,106,7.7781745930520225,60.5
James Redford,1,101.0,101,101,,
James Sweeney,1,96.0,96,96,,
James Toback,2,80.5,71,90,13.435028842544403,180.5
James Wan,3,116.33333333333333,103,134,15.947831618540917,254.3333333333334
James Watkins,1,92.0,92,92,,
James Wong,2,95.5,93,98,3.5355339059327378,12.5
James Woodroffe,1,57.0,57,57,,
James Yukich,2,54.5,38,71,23.33452377915607,544.5
Jami,1,135.0,135,135,,
Jamie Babbit,1,102.0,102,102,,
Jamie M. Dagg,1,93.0,93,93,,
Jan Belcl,1,97.0,97,97,,
Jan Komasa,1,136.0,136,136,,
Jan Suter,1,52.0,52,52,,
Jan-Peter Horns,1,60.0,60,60,,
Jane Campion,3,119.33333333333333,118,121,1.5275252316519485,2.3333333333333393
Jang Jae-hyun,1,123.0,123,123,,
Janusz Majewski,2,96.5,96,97,0.7071067811865476,0.5
Jarand Herdal,1,87.0,87,87,,
Jared Hess,2,94.0,92,96,2.8284271247461903,8.0
Jared Moshé,1,112.0,112,112,,
Jared Stern,1,78.0,78,78,,
Jasbir Bijendra Bhati,1,123.0,123,123,,
Jasmine D'Souza,1,93.0,93,93,,
Jason Bourque,1,88.0,88,88,,
Jason James,1,85.0,85,85,,
Jason Krawczyk,1,97.0,97,97,,
Jason Lai,1,89.0,89,89,,
Jason Moore,1,130.0,130,130,,
Jason Orley,1,50.0,50,50,,
Jason Paul Laxamana,2,113.0,108,118,7.0710678118654755,50.0
Jason Priestley,1,92.0,92,92,,
Jason Reitman,2,102.0,94,110,11.313708498984761,128.0
Jason Stone,1,91.0,91,91,,
Jason Winer,1,110.0,110,110,,
Jason Zada,1,93.0,93,93,,
Jastis Arimba,1,101.0,101,101,,
Jatla Siddartha,1,110.0,110,110,,
Jaume Collet-Serra,1,113.0,113,113,,
Javier Colinas,1,103.0,103,103,,
Javier Ruiz Caldera,2,100.5,93,108,10.606601717798213,112.5
Jay Baruchel,1,102.0,102,102,,
Jay Chandrasekhar,1,104.0,104,104,,
Jay Chapman,12,61.666666666666664,46,75,8.866005899279596,78.60606060606061
Jay Chou,1,101.0,101,101,,
Jay Grace,1,28.0,28,28,,
Jay Karas,14,71.14285714285714,59,103,11.850719827907522,140.43956043956047
Jay Roach,5,103.6,90,124,14.976648490233055,224.30000000000004
Jay Russell,1,112.0,112,112,,
Jay Surridge,1,47.0,47,47,,
Jayan Moodley,2,93.5,93,94,0.7071067811865476,0.5
Jayan Vannery,1,117.0,117,117,,
Jayaprakash Radhakrishnan,1,109.0,109,109,,
Jayaraj Rajasekharan Nair,1,88.0,88,88,,
Jayme Monjardim,1,96.0,96,96,,
Jazz Boon,1,109.0,109,109,,
Jean-Bernard Marlin,1,111.0,111,111,,
Jean-Claude Flamand-Barny,1,86.0,86,86,,
Jean-Claude La Marre,1,90.0,90,90,,
Jean-François Blais,1,62.0,62,62,,
Jean-François Richet,1,88.0,88,88,,
Jean-Marc Vallée,1,117.0,117,117,,
Jean-Patrick Benes,1,80.0,80,80,,
Jeannie Gaffigan,1,74.0,74,74,,
Jeannot Szwarc,1,116.0,116,116,,
Jee-woon Kim,1,140.0,140,140,,
Jeethu Joseph,2,124.5,101,148,33.23401871576773,1104.5
Jeeva,1,134.0,134,134,,
Jeff Baena,3,94.0,89,104,8.660254037844387,75.0
Jeff Chan,1,98.0,98,98,,
Jeff Deverett,1,91.0,91,91,,
Jeff Garlin,1,81.0,81,81,,
Jeff Margolis,1,79.0,79,79,,
Jeff Nichols,3,122.33333333333333,112,131,9.609023536933051,92.33333333333337
Jeff Orlowski,1,94.0,94,94,,
Jeff Stilson,1,96.0,96,96,,
Jeff Tomsic,1,62.0,62,62,,
Jeff Tremaine,2,97.5,87,108,14.849242404917497,220.5
Jeff Wadlow,2,105.5,98,113,10.606601717798213,112.5
Jeffrey G. Hunt,1,95.0,95,95,,
Jeffrey Nachmanoff,1,114.0,114,114,,
Jeffrey W. Byrd,1,98.0,98,98,,
Jeffrey Walker,2,105.0,100,110,7.0710678118654755,50.0
Jehane Noujaim,1,105.0,105,105,,
Jelle de Jonge,1,88.0,88,88,,
Jen McGowan,1,108.0,108,108,,
Jenna Laurenzo,1,90.0,90,90,,
Jennifer Brea,1,97.0,97,97,,
Jennifer Kaytin Robinson,1,92.0,92,92,,
Jennifer Lynch,1,97.0,97,97,,
Jennifer M. Kroot,1,91.0,91,91,,
Jennifer Morrison,1,94.0,94,94,,
Jennifer Phang,1,92.0,92,92,,
Jennifer Westcott,1,90.0,90,90,,
Jennifer Yuh Nelson,1,93.0,93,93,,
Jenny Carchman,1,93.0,93,93,,
Jenny Gage,1,106.0,106,106,,
Jenée LaMarque,1,88.0,88,88,,
Jeo Baby,1,127.0,127,127,,
Jeremiah Jones,1,88.0,88,88,,
Jeremiah Zagar,1,93.0,93,93,,
Jeremy Grant,1,52.0,52,52,,
Jeremy Kenyon Lockyer Corbell,1,97.0,97,97,,
Jeremy Rush,1,82.0,82,82,,
Jeremy Saulnier,4,97.5,79,126,20.14116845336106,405.66666666666674
Jerrold Tarog,2,134.0,118,150,22.627416997969522,512.0
Jerry G. Angelo,1,106.0,106,106,,
Jerry Seinfeld,1,62.0,62,62,,
Jesse Gustafson,1,88.0,88,88,,
Jesse Peretz,1,90.0,90,90,,
Jesse V. Johnson,4,94.0,88,97,4.0824829046386295,16.66666666666666
Jessica Yu,1,64.0,64,64,,
Jessie Nelson,1,132.0,132,132,,
Jesús Magaña Vázquez,1,83.0,83,83,,
Jesús Torres Torres,1,102.0,102,102,,
Jijo Pancode,1,105.0,105,105,,
Jim Fall,1,92.0,92,92,,
Jim Field Smith,1,106.0,106,106,,
Jim Henson,1,101.0,101,101,,
Jim Hosking,1,108.0,108,108,,
Jim Mickle,1,116.0,116,116,,
Jim Monaco,1,84.0,84,84,,
Jim Strouse,1,84.0,84,84,,
Jimmy Henderson,1,92.0,92,92,,
Jitender Pawar,1,113.0,113,113,,
Jo Sung-hee,1,138.0,138,138,,
Joaquín Mazón,1,97.0,97,97,,
Jocelyn Moorhouse,1,116.0,116,116,,
Jody Hill,1,83.0,83,83,,
Jody Lambert,1,92.0,92,92,,
Joe Alves,1,98.0,98,98,,
Joe Berlinger,3,104.33333333333333,86,117,16.258331197676263,264.33333333333326
Joe Boyd,1,102.0,102,102,,
Joe Camp,3,69.66666666666667,25,100,39.50105483823607,1560.3333333333333
Joe Dante,2,69.5,29,110,57.27564927611035,3280.5
Joe DeMaio,2,62.0,61,63,1.4142135623730951,2.0
Joe Lynch,1,87.0,87,87,,
Joe Mantello,1,122.0,122,122,,
Joe Menendez,1,68.0,68,68,,
Joe Miale,1,87.0,87,87,,
Joe Nussbaum,1,89.0,89,89,,
Joe Penna,1,116.0,116,116,,
Joe Robert Cole,1,122.0,122,122,,
Joe Roth,2,106.0,99,113,9.899494936611665,98.0
Joe Swanberg,1,89.0,89,89,,
Joe Wright,1,102.0,102,102,,
Joel Crawford,1,27.0,27,27,,
Joel Gallen,1,89.0,89,89,,
Joel Hopkins,1,103.0,103,103,,
Joel Oliansky,1,94.0,94,94,,
Joel Schumacher,1,141.0,141,141,,
Joey Curtis,1,101.0,101,101,,
Joey Kern,1,87.0,87,87,,
Johan Brisinger,1,91.0,91,91,,
Johannes Roberts,2,87.0,85,89,2.8284271247461903,8.0
John A. Davis,1,83.0,83,83,,
John Asher,3,81.33333333333333,67,94,13.576941236277536,184.33333333333337
John Banas,1,70.0,70,70,,
John Barnard,1,81.0,81,81,,
John Butler,1,95.0,95,95,,
John Carchietta,1,89.0,89,89,,
John Crowley,1,96.0,96,96,,
John Curran,1,106.0,106,106,,
John Dahl,2,127.0,121,133,8.48528137423857,72.0
John Dower,1,99.0,99,99,,
John Duigan,2,90.0,86,94,5.656854249492381,32.0
John Erick Dowdle,2,98.0,93,103,7.0710678118654755,50.0
John Ford,1,18.0,18,18,,
John Fortenberry,3,52.666666666666664,28,82,27.300793639257694,745.3333333333334
John G. Avildsen,5,115.2,104,127,8.700574693662482,75.7
John H. Lee,1,111.0,111,111,,
John Herzfeld,1,94.0,94,94,,
John Hillcoat,2,115.5,115,116,0.7071067811865476,0.5
John Hughes,1,103.0,103,103,,
John Huston,1,58.0,58,58,,
John Irvin,1,110.0,110,110,,
John L. Spencer,1,79.0,79,79,,
John Lee,1,90.0,90,90,,
John Lee Hancock,3,124.33333333333333,115,132,8.621678104251707,74.3333333333333
John Luessenhop,1,107.0,107,107,,
John Maclean,1,84.0,84,84,,
John Madden,1,132.0,132,132,,
John Michael McDonagh,1,98.0,98,98,,
John Milius,1,114.0,114,114,,
John Murlowski,1,94.0,94,94,,
John Papola,1,76.0,76,76,,
John Patrick Shanley,1,104.0,104,104,,
John Putch,1,112.0,112,112,,
John R. Leonetti,1,91.0,91,91,,
John Scheinfeld,1,99.0,99,99,,
John Schultz,3,89.66666666666667,85,93,4.163331998932265,17.33333333333333
John Stephenson,1,100.0,100,100,,
John Stewart Muller,1,99.0,99,99,,
John Stockwell,2,90.0,90,90,0.0,0.0
John Suits,1,91.0,91,91,,
John Trengove,1,88.0,88,88,,
John Upchurch,1,92.0,92,92,,
John Wells,2,113.0,105,121,11.313708498984761,128.0
John Whitesell,1,105.0,105,105,,
John Woo,1,109.0,109,109,,
Johnnie To,8,100.875,79,130,17.739685131687896,314.69642857142856
Johnny Breedt,1,90.0,90,90,,
Johnny Kevorkian,1,91.0,91,91,,
Johnny Martin,1,99.0,99,99,,
Johnny To,1,85.0,85,85,,
Johnson Esthappan,1,151.0,151,151,,
Jon Avnet,1,101.0,101,101,,
Jon Favreau,2,108.0,101,115,9.899494936611665,98.0
Jon Gunn,1,113.0,113,113,,
Jon Izen,1,33.0,33,33,,
Jon J. Whelan,1,91.0,91,91,,
Jon M. Chu,3,95.66666666666667,62,119,29.871948937646053,892.3333333333333
Jon Rosenbaum,3,71.66666666666667,29,96,37.072002014098636,1374.3333333333333
Jon Spira,1,102.0,102,102,,
Jon Turteltaub,1,131.0,131,131,,
Jon Watts,1,88.0,88,88,,
Jonathan A. Rosenbaum,1,87.0,87,87,,
Jonathan Augustin,1,107.0,107,107,,
Jonathan Baker,1,106.0,106,106,,
Jonathan Clay,1,74.0,74,74,,
Jonathan Demme,3,109.66666666666667,90,126,18.230011885167087,332.3333333333333
Jonathan Glazer,1,108.0,108,108,,
Jonathan Helpert,1,96.0,96,96,,
Jonathan Hensleigh,2,107.5,106,109,2.1213203435596424,4.5
Jonathan Levine,2,95.5,91,100,6.363961030678928,40.5
Jonathan Liebesman,1,116.0,116,116,,
Jonathan Lynn,1,99.0,99,99,,
Jonathan Mostow,2,100.0,91,109,12.727922061357855,162.0
Jonathan Sobol,1,90.0,90,90,,
Jonathan Taylor,1,56.0,56,56,,
Jonathan Teplitzky,1,108.0,108,108,,
Jonathon Link,1,93.0,93,93,,
Jonás Trueba,1,108.0,108,108,,
Joram Lürsen,2,117.0,111,123,8.48528137423857,72.0
Jordan Brady,1,50.0,50,50,,
Jordan Ross,1,93.0,93,93,,
Jordana Spiro,1,87.0,87,87,,
Jordi Llompart,1,122.0,122,122,,
Jorge Blanco,1,91.0,91,91,,
Jorge Hernandez Aldana,1,71.0,71,71,,
Jorge M. Fontana,1,111.0,111,111,,
Jorge Michel Grau,1,93.0,93,93,,
Jos Humphrey,1,82.0,82,82,,
Jose Gomez,1,98.0,98,98,,
Josef Fares,1,99.0,99,99,,
Joseph Cross,1,93.0,93,93,,
Joseph Hsu,1,123.0,123,123,,
Joseph Mbah,1,81.0,81,81,,
Joseph Ruben,1,111.0,111,111,,
Joseph Sargent,1,91.0,91,91,,
Josh Greenbaum,1,100.0,100,100,,
Josh Mendoza,1,91.0,91,91,,
Josh Wakely,1,51.0,51,51,,
Josh Webber,1,89.0,89,89,,
Joshua Caldwell,1,88.0,88,88,,
Joshua Marston,1,105.0,105,105,,
Josiah Ng,1,104.0,104,104,,
José Eduardo Belmonte,1,95.0,95,95,,
Jota Linares,2,97.0,94,100,4.242640687119285,18.0
Joyce Bernal,2,121.0,115,127,8.48528137423857,72.0
Juan Antin,1,71.0,71,71,,
Juan Antonio de la Riva,1,88.0,88,88,,
Juan Camilo Pinzon,1,83.0,83,83,,
Juan Carlos Rulfo,1,28.0,28,28,,
Juan José Campanella,1,85.0,85,85,,
Juan Pablo Buscarini,1,99.0,99,99,,
Juan Zapata,1,72.0,72,72,,
Juani Libonatti,1,65.0,65,65,,
Judah Friedlander,1,84.0,84,84,,
Jude Okwudiafor Johnson,1,104.0,104,104,,
Jude Weng,1,123.0,123,123,,
Julia Hart,1,86.0,86,86,,
Julia Knowles,1,52.0,52,52,,
Julia von Heinz,1,112.0,112,112,,
Julian Jarrold,1,121.0,121,121,,
Julian Schnabel,1,111.0,111,111,,
Julie Dash,1,112.0,112,112,,
Julie Taymor,1,133.0,133,133,,
Julien Abraham,1,97.0,97,97,,
Julien Christian Lutz,1,88.0,88,88,,
Julien Leclercq,2,81.0,81,81,0.0,0.0
Julien Rambaldi,1,94.0,94,94,,
Julien Royal,1,99.0,99,99,,
Julien Seri,1,81.0,81,81,,
Julio Medem,1,136.0,136,136,,
Julio Quintana,1,97.0,97,97,,
Julius Avery,1,109.0,109,109,,
Julius Onah,1,102.0,102,102,,
Julius R. Nasso,1,98.0,98,98,,
Julián Gaviria,1,64.0,64,64,,
Julián Hernández,2,139.5,127,152,17.67766952966369,312.5
July Hygreck,1,85.0,85,85,,
Jun Lana,4,106.75,104,110,2.753785273643053,7.583333333333344
Jun-seong Kim,1,102.0,102,102,,
Jung Ji-woo,1,123.0,123,123,,
Jung-woo Park,1,137.0,137,137,,
Just Philippot,1,102.0,102,102,,
Justin Baldoni,1,116.0,116,116,,
Justin Chadwick,1,141.0,141,141,,
Justin Chon,1,95.0,95,95,,
Justin G. Dyck,7,87.71428571428571,84,92,3.4982989063393704,12.238095238095235
Justin Kelly,2,105.5,102,109,4.949747468305833,24.5
Justin Krook,1,80.0,80,80,,
Justin Lee,1,117.0,117,117,,
Justin McConnell,1,84.0,84,84,,
Justin P. Lange,1,87.0,87,87,,
Jérémy Clapin,1,81.0,81,81,,
K. Gopinathan,1,116.0,116,116,,
K. Rajagopal,1,111.0,111,111,,
K. Ramanlal,1,143.0,143,143,,
K. Subhash,1,141.0,141,141,,
K.C. Bokadia,1,107.0,107,107,,
KVR Mahendra,1,134.0,134,134,,
Kaashvie Nair,1,140.0,140,140,,
Kabir Bhatia,1,119.0,119,119,,
Kabir Khan,1,129.0,129,129,,
Kabir Sadanand,2,120.0,112,128,11.313708498984761,128.0
Kader Aoun,1,75.0,75,75,,
Kagiso Lediga,2,88.5,60,117,40.30508652763321,1624.5
Kaila York,1,87.0,87,87,,
Kaizad Gustad,1,79.0,79,79,,
Kamal Sahani,1,141.0,141,141,,
Kanika Batra,1,92.0,92,92,,
Kanwal Sethi,1,101.0,101,101,,
Karan Anshuman,1,134.0,134,134,,
Karan Johar,3,195.33333333333334,185,209,12.342339054382414,152.3333333333334
Karan Malhotra,1,155.0,155,155,,
Karen J. Lloyd,2,65.0,47,83,25.45584412271571,648.0
Karen Maine,1,78.0,78,78,,
Karen Moncrieff,1,95.0,95,95,,
Karey Kirkpatrick,1,108.0,108,108,,
Karim El Sobky,1,111.0,111,111,,
Karl Mueller,1,101.0,101,101,,
Karthik Subbaraj,1,170.0,170,170,,
Karyn Kusama,2,96.5,93,100,4.949747468305833,24.5
Kasia Uscinska,2,54.5,54,55,0.7071067811865476,0.5
Kaspar Astrup Schröder,1,90.0,90,90,,
Kasper Barfoed,1,94.0,94,94,,
Kasra Farahani,1,97.0,97,97,,
Katarina Launing,1,98.0,98,98,,
Kate Horne,1,73.0,73,73,,
Kate Melville,1,90.0,90,90,,
Katherine Brooks,1,77.0,77,77,,
Katherine Dieckmann,1,91.0,91,91,,
Katherine Fairfax Wright,1,100.0,100,100,,
Kathryn Bigelow,1,138.0,138,138,,
Kavi Raz,1,121.0,121,121,,
Kayode Kasum,4,116.75,113,120,3.304037933599835,10.916666666666666
Kazuaki Kiriya,1,115.0,115,115,,
Kazuchika Kise,2,57.0,56,58,1.4142135623730951,2.0
Keanu Reeves,1,105.0,105,105,,
Kedar Shinde,2,144.0,137,151,9.899494936611665,98.0
Keenen Ivory Wayans,1,88.0,88,88,,
Keerthi,1,124.0,124,124,,
Kees Van Oostrum,1,94.0,94,94,,
Keiichi Hara,1,90.0,90,90,,
Keith L. Smith,1,91.0,91,91,,
Keith Scholey,1,78.0,78,78,,
Kelly Duane de la Vega,1,74.0,74,74,,
Kelly Fremon Craig,1,105.0,105,105,,
Kelly Noonan,1,107.0,107,107,,
Kelly Reichardt,1,113.0,113,113,,
Kemi Adetiba,2,141.5,101,182,57.27564927611035,3280.5
Ken Barbet,1,90.0,90,90,,
Ken Ghosh,3,122.33333333333333,117,129,6.110100926607786,37.33333333333333
Ken Hughes,1,146.0,146,146,,
Ken Kushner,1,95.0,95,95,,
Ken Kwapis,1,107.0,107,107,,
Ken Loach,1,100.0,100,100,,
Ken Marino,1,116.0,116,116,,
Kenneth Gyang,2,106.5,106,107,0.7071067811865476,0.5
Kenneth Müller,1,69.0,69,69,,
Kenny Leon,1,90.0,90,90,,
Kenny Young,2,85.0,85,85,0.0,0.0
Keoni Waxman,2,95.5,94,97,2.1213203435596424,4.5
Kepa Sojo,1,86.0,86,86,,
Ketan Mehta,3,130.0,114,154,21.166010488516726,448.0
Ketche,1,110.0,110,110,,
Kevan Peterson,1,93.0,93,93,,
Kevin Bray,1,63.0,63,63,,
Kevin Costner,1,181.0,181,181,,
Kevin Derek,1,81.0,81,81,,
Kevin Donovan,1,99.0,99,99,,
Kevin Hooks,1,84.0,84,84,,
Kevin Layne,2,85.0,77,93,11.313708498984761,128.0
Kevin MacDonald,2,97.0,80,114,24.041630560342615,578.0
Kevin Macdonald,1,127.0,127,127,,
Kevin Munroe,1,87.0,87,87,,
Kevin Peeples,1,99.0,99,99,,
Kevin Phillips,1,104.0,104,104,,
Kevin Pollak,1,95.0,95,95,,
Kevin Reynolds,1,119.0,119,119,,
Kevin Smith,5,101.8,88,113,9.038805230781334,81.69999999999999
Khaled El Halafawy,2,93.0,87,99,8.48528137423857,72.0
Khaled Marei,5,116.6,102,132,11.081516141756053,122.79999999999997
Khaled Youssef,1,125.0,125,125,,
Khalid Mohamed,1,163.0,163,163,,
Khalid Rahman,1,91.0,91,91,,
Kheiron,1,105.0,105,105,,
Kieran Darcy-Smith,1,110.0,110,110,,
Kike Maíllo,1,106.0,106,106,,
Kim Dong-kyu,1,102.0,102,102,,
Kim Jee-woon,1,140.0,140,140,,
Kim Joo-hyung,1,63.0,63,63,,
Kim Nguyen,2,103.0,95,111,11.313708498984761,128.0
Kim Sung-hoon,1,122.0,122,122,,
Kim Tae-hyung,1,116.0,116,116,,
Kingsley Ogoro,1,84.0,84,84,,
Kinka Usher,1,121.0,121,121,,
Kiran Narayanan,1,122.0,122,122,,
Kiran Rao,1,102.0,102,102,,
Kirati Nakintanon,1,107.0,107,107,,
Kirk Wise,1,83.0,83,83,,
Kitaro Kosaka,1,96.0,96,96,,
Kittiphak Thonguam,1,108.0,108,108,,
Kornél Mundruczó,1,128.0,128,128,,
Kranthi Madhav,1,147.0,147,147,,
Kranti Kanade,1,110.0,110,110,,
Kranti Redkar,1,132.0,132,132,,
Kris Pearn,1,92.0,92,92,,
Krish,1,128.0,128,128,,
Krishna Vamshi,1,168.0,168,168,,
Kristian Levring,1,92.0,92,92,,
Kristian Mercado,2,66.0,64,68,2.8284271247461903,8.0
Kristin Hanggi,1,91.0,91,91,,
Krysia Plonka,1,61.0,61,61,,
Krzysztof Zanussi,1,84.0,84,84,,
Ksshitij Chaudhary,2,130.0,128,132,2.8284271247461903,8.0
Kumaran,1,124.0,124,124,,
Kunal Deshmukh,1,131.0,131,131,,
Kunal Kohli,1,117.0,117,117,,
Kundan Shah,4,148.25,117,176,24.185050478894322,584.9166666666665
Kunihiko Yuyama,1,97.0,97,97,,
Kunle Afolayan,7,123.0,100,151,19.68925256749648,387.66666666666674
Kuntz Agus,1,121.0,121,121,,
Kurt Voelker,1,100.0,100,100,,
Kurt Wimmer,1,107.0,107,107,,
Kushal Srivastava,1,113.0,113,113,,
Kwabena Gyansah,1,89.0,89,89,,
Kyle Newacheck,2,100.0,98,102,2.8284271247461903,8.0
Kyle Newman,1,99.0,99,99,,
Kyle Patrick Alvarez,1,122.0,122,122,,
Kyle Rankin,1,88.0,88,88,,
Kyle Rideout,1,86.0,86,86,,
Kyran Kelly,1,74.0,74,74,,
Kyzza Terrazas,1,102.0,102,102,,
Kıvanç Baruönü,5,104.4,104,105,0.5477225575051652,0.29999999999999893
L. Frazier,1,60.0,60,60,,
LP,1,107.0,107,107,,
Ladislaus Kiraly,1,74.0,74,74,,
Lana Wilson,1,85.0,85,85,,
Lance Bangs,7,73.14285714285714,60,95,11.246163366952771,126.47619047619048
Lance Daly,1,100.0,100,100,,
Lance Hool,1,101.0,101,101,,
Lance Young,1,103.0,103,103,,
Lara Saba,1,91.0,91,91,,
Larry Elikann,1,95.0,95,95,,
Larry Latham,2,77.0,75,79,2.8284271247461903,8.0
Lars Büchel,1,94.0,94,94,,
Lars Klevberg,1,88.0,88,88,,
Lars von Trier,2,120.5,117,124,4.949747468305833,24.5
Lasja Fauzia Susatyo,1,87.0,87,87,,
Lasse Hallström,6,111.0,93,123,10.583005244258363,112.00000000000003
Laura Fairrie,1,97.0,97,97,,
Laura Mañá,1,88.0,88,88,,
Laura Terruso,1,94.0,94,94,,
Laura VanZee Taylor,1,54.0,54,54,,
Lauren Miller Rogen,1,104.0,104,104,,
Laurent Cantet,1,114.0,114,114,,
Law Wing-cheong,1,104.0,104,104,,
Lawrence Cheng,1,105.0,105,105,,
Lawrence Kasdan,1,191.0,191,191,,
Laxman Utekar,1,125.0,125,125,,
Le Van Kiet,1,97.0,97,97,,
Leandro Neri,1,95.0,95,95,,
Leanne Gater,1,58.0,58,58,,
Lee Chang-dong,1,148.0,148,148,,
Lee Chung-hyun,1,112.0,112,112,,
Lee Daniels,1,132.0,132,132,,
Lee Hirsch,1,103.0,103,103,,
Lee Jeong-beom,1,128.0,128,128,,
Lee Kae-byeok,1,103.0,103,103,,
Lee Kirk,1,87.0,87,87,,
Lee Seung-won,1,102.0,102,102,,
Lee Tamahori,4,108.25,96,133,16.760568804985905,280.9166666666667
Leena Yadav,3,134.0,119,146,13.74772708486752,189.0
Leif Tilden,1,105.0,105,105,,
Lekh Tandon,3,143.66666666666666,116,163,24.583192089989726,604.3333333333334
Leli Maki,1,104.0,104,104,,
Len Wiseman,1,121.0,121,121,,
Lena Khan,1,94.0,94,94,,
Lenin Bharathi,1,115.0,115,115,,
Lennart Ruff,1,97.0,97,97,,
Lenny Abrahamson,1,118.0,118,118,,
Leo Riley,1,71.0,71,71,,
Leopoldo Aguilar,1,81.0,81,81,,
Les Mayfield,3,93.0,91,94,1.7320508075688772,3.0
Lesli Linka Glatter,1,102.0,102,102,,
Leslie Iwerks,1,89.0,89,89,,
